deg,mos_pred,model
prompt_7021-85628-0018_gt_7021-85628-0009.wav,3.514439821243286,NISQA_TTS_v1
prompt_7021-85628-0018_gt_7021-85628-0011.wav,4.345530033111572,NISQA_TTS_v1
prompt_7021-85628-0018_gt_7021-85628-0010.wav,4.192010879516602,NISQA_TTS_v1
prompt_7021-85628-0018_gt_7021-85628-0008.wav,4.439803600311279,NISQA_TTS_v1
prompt_7021-85628-0018_gt_7729-102255-0019.wav,3.611128091812134,NISQA_TTS_v1
prompt_7021-85628-0018_gt_7729-102255-0005.wav,4.244400501251221,NISQA_TTS_v1
prompt_7021-85628-0018_gt_7729-102255-0036.wav,3.6001007556915283,NISQA_TTS_v1
prompt_7021-85628-0018_gt_7729-102255-0021.wav,4.24936056137085,NISQA_TTS_v1
prompt_7021-85628-0018_gt_3575-170457-0022.wav,4.347044944763184,NISQA_TTS_v1
prompt_7021-85628-0018_gt_3575-170457-0000.wav,4.4228410720825195,NISQA_TTS_v1
prompt_7021-85628-0018_gt_3575-170457-0005.wav,3.856027364730835,NISQA_TTS_v1
prompt_7021-85628-0018_gt_3575-170457-0050.wav,3.8406665325164795,NISQA_TTS_v1
prompt_7021-85628-0018_gt_260-123288-0001.wav,3.8733880519866943,NISQA_TTS_v1
prompt_7021-85628-0018_gt_260-123288-0011.wav,3.6731393337249756,NISQA_TTS_v1
prompt_7021-85628-0018_gt_260-123288-0002.wav,3.865506410598755,NISQA_TTS_v1
prompt_7021-85628-0018_gt_260-123288-0006.wav,3.5548439025878906,NISQA_TTS_v1
prompt_7021-85628-0018_gt_2094-142345-0024.wav,3.3775885105133057,NISQA_TTS_v1
prompt_7021-85628-0018_gt_2094-142345-0021.wav,3.4997751712799072,NISQA_TTS_v1
prompt_7021-85628-0018_gt_2094-142345-0058.wav,3.8807308673858643,NISQA_TTS_v1
prompt_7021-85628-0018_gt_2094-142345-0001.wav,3.3458423614501953,NISQA_TTS_v1
prompt_7021-85628-0018_gt_5105-28240-0005.wav,3.711911201477051,NISQA_TTS_v1
prompt_7021-85628-0018_gt_5105-28240-0016.wav,3.4201114177703857,NISQA_TTS_v1
prompt_7021-85628-0018_gt_5105-28240-0004.wav,3.797595500946045,NISQA_TTS_v1
prompt_7021-85628-0018_gt_5105-28240-0019.wav,3.7373979091644287,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1580-141084-0040.wav,3.776508331298828,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1580-141084-0047.wav,3.9278335571289062,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1580-141084-0034.wav,3.385683059692383,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1580-141084-0048.wav,3.599243640899658,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1221-135766-0014.wav,3.7627933025360107,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1221-135766-0002.wav,3.8792688846588135,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1221-135766-0004.wav,3.948951482772827,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1221-135766-0007.wav,3.6006548404693604,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1320-122612-0007.wav,3.8750500679016113,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1320-122612-0004.wav,3.770993709564209,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1320-122612-0005.wav,3.9945058822631836,NISQA_TTS_v1
prompt_7021-85628-0018_gt_1320-122612-0008.wav,3.5466954708099365,NISQA_TTS_v1
prompt_7021-85628-0018_gt_2300-131720-0027.wav,3.823913335800171,NISQA_TTS_v1
prompt_7021-85628-0018_gt_2300-131720-0015.wav,3.371760129928589,NISQA_TTS_v1
prompt_7021-85628-0018_gt_2300-131720-0009.wav,3.9213593006134033,NISQA_TTS_v1
prompt_7021-85628-0018_gt_2300-131720-0000.wav,3.4242701530456543,NISQA_TTS_v1
prompt_7729-102255-0010_gt_7021-85628-0009.wav,3.469562530517578,NISQA_TTS_v1
prompt_7729-102255-0010_gt_7021-85628-0011.wav,3.87914776802063,NISQA_TTS_v1
prompt_7729-102255-0010_gt_7021-85628-0010.wav,3.259955406188965,NISQA_TTS_v1
prompt_7729-102255-0010_gt_7021-85628-0008.wav,3.480980634689331,NISQA_TTS_v1
prompt_7729-102255-0010_gt_7729-102255-0019.wav,2.6209309101104736,NISQA_TTS_v1
prompt_7729-102255-0010_gt_7729-102255-0005.wav,3.3671090602874756,NISQA_TTS_v1
prompt_7729-102255-0010_gt_7729-102255-0036.wav,2.5380048751831055,NISQA_TTS_v1
prompt_7729-102255-0010_gt_7729-102255-0021.wav,3.3478965759277344,NISQA_TTS_v1
prompt_7729-102255-0010_gt_3575-170457-0022.wav,3.2920477390289307,NISQA_TTS_v1
prompt_7729-102255-0010_gt_3575-170457-0000.wav,3.3185503482818604,NISQA_TTS_v1
prompt_7729-102255-0010_gt_3575-170457-0005.wav,3.134432315826416,NISQA_TTS_v1
prompt_7729-102255-0010_gt_3575-170457-0050.wav,2.7240240573883057,NISQA_TTS_v1
prompt_7729-102255-0010_gt_260-123288-0001.wav,2.594817638397217,NISQA_TTS_v1
prompt_7729-102255-0010_gt_260-123288-0011.wav,3.5291125774383545,NISQA_TTS_v1
prompt_7729-102255-0010_gt_260-123288-0002.wav,3.365697145462036,NISQA_TTS_v1
prompt_7729-102255-0010_gt_260-123288-0006.wav,3.5306966304779053,NISQA_TTS_v1
prompt_7729-102255-0010_gt_2094-142345-0024.wav,2.9187510013580322,NISQA_TTS_v1
prompt_7729-102255-0010_gt_2094-142345-0021.wav,3.0494303703308105,NISQA_TTS_v1
prompt_7729-102255-0010_gt_2094-142345-0058.wav,3.294381856918335,NISQA_TTS_v1
prompt_7729-102255-0010_gt_2094-142345-0001.wav,2.997032403945923,NISQA_TTS_v1
prompt_7729-102255-0010_gt_5105-28240-0005.wav,3.4390103816986084,NISQA_TTS_v1
prompt_7729-102255-0010_gt_5105-28240-0016.wav,3.1041550636291504,NISQA_TTS_v1
prompt_7729-102255-0010_gt_5105-28240-0004.wav,3.2112390995025635,NISQA_TTS_v1
prompt_7729-102255-0010_gt_5105-28240-0019.wav,3.4825687408447266,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1580-141084-0040.wav,3.0877254009246826,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1580-141084-0047.wav,3.460325241088867,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1580-141084-0034.wav,2.383476495742798,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1580-141084-0048.wav,2.698033332824707,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1221-135766-0014.wav,3.203003168106079,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1221-135766-0002.wav,3.185476541519165,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1221-135766-0004.wav,2.9620754718780518,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1221-135766-0007.wav,2.843994379043579,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1320-122612-0007.wav,3.1546313762664795,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1320-122612-0004.wav,2.695859670639038,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1320-122612-0005.wav,2.715162992477417,NISQA_TTS_v1
prompt_7729-102255-0010_gt_1320-122612-0008.wav,2.602710008621216,NISQA_TTS_v1
prompt_7729-102255-0010_gt_2300-131720-0027.wav,3.2275803089141846,NISQA_TTS_v1
prompt_7729-102255-0010_gt_2300-131720-0015.wav,2.5916402339935303,NISQA_TTS_v1
prompt_7729-102255-0010_gt_2300-131720-0009.wav,2.787973165512085,NISQA_TTS_v1
prompt_7729-102255-0010_gt_2300-131720-0000.wav,2.740305185317993,NISQA_TTS_v1
prompt_3575-170457-0022_gt_7021-85628-0009.wav,3.519491195678711,NISQA_TTS_v1
prompt_3575-170457-0022_gt_7021-85628-0011.wav,3.40071702003479,NISQA_TTS_v1
prompt_3575-170457-0022_gt_7021-85628-0010.wav,4.237334728240967,NISQA_TTS_v1
prompt_3575-170457-0022_gt_7021-85628-0008.wav,3.5503971576690674,NISQA_TTS_v1
prompt_3575-170457-0022_gt_7729-102255-0019.wav,3.5455825328826904,NISQA_TTS_v1
prompt_3575-170457-0022_gt_7729-102255-0005.wav,3.5610079765319824,NISQA_TTS_v1
prompt_3575-170457-0022_gt_7729-102255-0036.wav,3.4542152881622314,NISQA_TTS_v1
prompt_3575-170457-0022_gt_7729-102255-0021.wav,3.363867998123169,NISQA_TTS_v1
prompt_3575-170457-0022_gt_3575-170457-0022.wav,3.6317543983459473,NISQA_TTS_v1
prompt_3575-170457-0022_gt_3575-170457-0000.wav,3.6828653812408447,NISQA_TTS_v1
prompt_3575-170457-0022_gt_3575-170457-0005.wav,3.275444269180298,NISQA_TTS_v1
prompt_3575-170457-0022_gt_3575-170457-0050.wav,3.660942792892456,NISQA_TTS_v1
prompt_3575-170457-0022_gt_260-123288-0001.wav,3.7272446155548096,NISQA_TTS_v1
prompt_3575-170457-0022_gt_260-123288-0011.wav,3.6933095455169678,NISQA_TTS_v1
prompt_3575-170457-0022_gt_260-123288-0002.wav,3.32140851020813,NISQA_TTS_v1
prompt_3575-170457-0022_gt_260-123288-0006.wav,3.818157434463501,NISQA_TTS_v1
prompt_3575-170457-0022_gt_2094-142345-0024.wav,2.8623571395874023,NISQA_TTS_v1
prompt_3575-170457-0022_gt_2094-142345-0021.wav,3.0861313343048096,NISQA_TTS_v1
prompt_3575-170457-0022_gt_2094-142345-0058.wav,3.150648355484009,NISQA_TTS_v1
prompt_3575-170457-0022_gt_2094-142345-0001.wav,2.9098801612854004,NISQA_TTS_v1
prompt_3575-170457-0022_gt_5105-28240-0005.wav,3.590236186981201,NISQA_TTS_v1
prompt_3575-170457-0022_gt_5105-28240-0016.wav,3.6841888427734375,NISQA_TTS_v1
prompt_3575-170457-0022_gt_5105-28240-0004.wav,3.6998775005340576,NISQA_TTS_v1
prompt_3575-170457-0022_gt_5105-28240-0019.wav,3.54114031791687,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1580-141084-0040.wav,3.4924731254577637,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1580-141084-0047.wav,3.9040658473968506,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1580-141084-0034.wav,3.2719483375549316,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1580-141084-0048.wav,3.82958722114563,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1221-135766-0014.wav,3.568403482437134,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1221-135766-0002.wav,3.448693037033081,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1221-135766-0004.wav,2.9381494522094727,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1221-135766-0007.wav,3.097620725631714,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1320-122612-0007.wav,3.4317753314971924,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1320-122612-0004.wav,3.079099416732788,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1320-122612-0005.wav,3.1854333877563477,NISQA_TTS_v1
prompt_3575-170457-0022_gt_1320-122612-0008.wav,3.2121927738189697,NISQA_TTS_v1
prompt_3575-170457-0022_gt_2300-131720-0027.wav,4.088156700134277,NISQA_TTS_v1
prompt_3575-170457-0022_gt_2300-131720-0015.wav,3.382014513015747,NISQA_TTS_v1
prompt_3575-170457-0022_gt_2300-131720-0009.wav,3.331738233566284,NISQA_TTS_v1
prompt_3575-170457-0022_gt_2300-131720-0000.wav,2.903653383255005,NISQA_TTS_v1
prompt_260-123288-0001_gt_7021-85628-0009.wav,3.3838717937469482,NISQA_TTS_v1
